,Unnamed: 0,French,English
0,1,histoire,history
1,3,seulement,only
2,4,police,police
3,8,frère,brother
4,11,laisse,leash
5,12,eux,them
6,13,ville,city
7,15,parlé,speak
8,16,arrivé,come
9,17,devrait,should
10,18,bébé,baby
11,19,longtemps,long time
12,20,heures,hours
13,21,vont,will
14,22,revoir,meet again
15,24,place,square
16,25,parle,speak
17,26,compris,understood
18,29,voici,here is
19,30,pourrais,could
20,33,type,type
21,34,leurs,their
22,35,donné,given
23,36,train,train
24,38,yeux,eyes
25,39,façon,way
26,41,dont,whose
27,42,trouve,find
28,43,main,hand
29,46,vieux,old
30,47,sois,be
31,49,matin,morning
32,50,tellement,so much
33,51,enfant,child
34,52,point,point
35,57,devant,in front of
36,58,vers,towards
37,59,minutes,minutes
38,61,chambre,bedroom
39,62,mis,placed
40,63,belle,beautiful
41,64,droit,law
42,65,aimerais,would like to
43,66,aujourd'hui,today
44,67,mari,husband
45,68,cause,cause
46,70,espère,hope
47,71,eau,water
48,73,parti,left
49,75,arrêter,Stop
50,77,terre,Earth
51,78,compte,account
52,79,donne,given
53,80,loin,far
54,82,croire,believe
55,83,chérie,sweetheart
56,85,plutôt,rather
57,86,filles,girls
58,87,jouer,to play
59,88,bureau,office
